date,sales,weather,temperature,THI,num_staff
2023-07-01,,1,28.052426025288963,72.75427965275308,5.0
2023-07-02,,2,31.441686322232243,72.54429014418956,6.0
2023-07-03,,1,28.88902989420811,76.48565504612684,5.0
2023-07-04,,1,27.4993230381622,70.13967274197749,6.0
2023-07-05,,3,27.9313790367589,71.07622390625083,6.0
2023-07-06,,2,31.484866552684576,75.46862052283555,7.0
2023-07-07,,2,31.254757664358003,77.87263086023495,8.0
2023-07-08,,3,31.201236087715312,76.30608710873688,6.0
2023-07-09,,3,29.322859057292,76.408092135445,7.0
2023-07-10,,2,30.01024425353523,69.69395691217257,6.0
2023-07-11,,2,32.45325808762815,78.9425020474022,6.0
2023-07-12,,2,25.53182082105208,67.18281452302602,6.0
2023-07-13,,2,30.07392629528575,73.57395014842508,9.0
2023-07-14,,2,30.269868444380368,73.27176572996353,7.0
